active;label;asset;liquidity;risk_factor;account_category;asset_medium;platform;investment_type;notes;25/07/2021;04/09/2021;17/10/2021;12/11/2021;25/11/2021;19/12/2021;31/12/2021;01/03/2022;15/03/2022;14/05/2022;27/05/2022;17/06/2022;16/07/2022;14/08/2022;27/08/2022;07/10/2022;12/11/2022;02/12/2022;01/03/2023;29/03/2023;07/04/2023;13/05/2023;14/07/2023;06/08/2023;04/09/2023;15/09/2023;20/11/2023;27/11/2023;15/12/2023;27/12/2023;16/02/2024;25/02/2024;09/03/2024;17/03/2024;07/05/2024;21/05/2024;20/07/2024;07/08/2024;10/08/2024;26/08/2024;29/10/2024;11/11/2024;12/11/2024;17/11/2024;22/11/2024;26/12/2024;31/12/2024;19/01/2025;11/02/2025;08/03/2025;11/03/2025;26/04/2025;10/05/2025;23/05/2025;01/06/2025;14/06/2025;22/06/2025;27/06/2025;21/07/2025;03/09/2025;15/09/2025;13/10/2025;26/10/2025;28/10/2025;05/11/2025;11/11/2025;24/11/2025;07/12/2025;11/01/2026;18/01/2026;01/02/2026;08/02/2026;02/03/2026;16/03/2026;22/03/2026;11/04/2026;22/04/2026;03/05/2026;05/05/2026;12/05/2026
0;yoga;UNVR;HIGH;"MEDIUM RISK";"Stock Equiv";"Saham Indo";INDOPREMIER;Saham;UNVR;17280000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …3688";WBTC/USDT;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;"Uniswap Arbitrum";"Liquidty Provider";WBTC/USDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;652796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Uniswap;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;BINANCE;Crypto;uniswap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64381;80170;69554;50740;52632;54524;67716;75347;81301;77425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Bonk;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;Triv;Crypto;Bonk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;459586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet â€¦3688";USDC;MEDIUM;"VERY HIGH RISK";"Alternativ Equiv";"US Dollar";Polymarket;"Prediction Market";Polymarket;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
0;"Wallet …ce36f";USDC;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar Token";KiloEx;"Liquidty Provider";"Stablecoin Pools";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8197331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …ce36f";USDC;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";"Extra Finance";"Lending Protocol";"Stablecoin Lending";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62540365;;;;;101697120;92313151;46262740;;;;;;58833435;31989376;32109840;32110996;32361991;32530442;32467946;32510172;32134536;32313099;32103522;30613736;;;;;;;;
0;"Wallet …BVB";USDC;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";Solana;"Lending Protocol";"USDC Lending";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7364385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …3688";BNB;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;BNB;Crypto;BNB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89354;138004;166004;165527;131376;125651;103407;106858;114885;125669;129257;134266;133889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;aya;LQ45;HIGH;"MEDIUM RISK";"Stock Equiv";"Saham Indo";INDOPREMIER;LQ45;LQ45;;;;;;;;12733000;;18931441;19298400;22577000;19494000;23205000;23394000;24756044;25009189;24543600;23044138;23615616;7160183;7199073;7486777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Zipmex;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;ZIPMEX;Crypto;"btc, eth, zmt, dkk";;;;;;1968361;2653188;3543319;;3303618;3122753;4250564;5133345;6199050;4586789;4278287;3594855;3518895;3339023;2262849;2336685;29094;1338;1255;1255;1209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
